Tiempo,x_ee,y_ee
0,0.15,0.15
0.01,0.150022971973862,0.149834249253642
0.02,0.150051088228004,0.149695217262616
0.03,0.150080505326165,0.149586697055869
0.04,0.150107379832085,0.149512481662347
0.05,0.150127868309505,0.149476364110998
0.06,0.150138127322165,0.14948213743077
0.07,0.150134313433804,0.149533594650609
0.08,0.150112583208163,0.149634528799462
0.09,0.150069093208982,0.149788732906277
0.1,0.15,0.15
0.11,0.149901460144958,0.150272123109579
0.12,0.149769630207595,0.150608895263962
0.13,0.149600666751652,0.151014109492094
0.14,0.149390726340869,0.151491558822924
0.15,0.149135965538986,0.152045036285398
0.16,0.148832540909742,0.152678334908464
0.17,0.148476609016879,0.153395247721069
0.18,0.148064326424134,0.154199567752159
0.19,0.14759184969525,0.155095088030683
0.2,0.147055335393966,0.156085601585587
0.21,0.146451730032075,0.157172151617263
0.22,0.145781139913589,0.158344782011883
0.23,0.145044461290573,0.159590786827063
0.24,0.144242590415091,0.160897460120421
0.25,0.143376423539207,0.162252095949573
0.26,0.142446856914987,0.163641988372135
0.27,0.141454786794496,0.165054431445724
0.28,0.140401109429797,0.166476719227956
0.29,0.139286721072957,0.167896145776448
0.3,0.138112517976039,0.169300005148818
0.31,0.136879340594533,0.170677259296379
0.32,0.135587806197628,0.172023541745246
0.33,0.134238476257934,0.173336153915231
0.34,0.132831912248066,0.174612397226143
0.35,0.131368675640636,0.175849573097797
0.36,0.129849327908255,0.177044982950004
0.37,0.128274430523538,0.178195928202575
0.38,0.126644544959096,0.179299710275322
0.39,0.124960232687542,0.180353630588057
0.4,0.123222055181488,0.181354990560593
0.41,0.121430896322817,0.182301579965923
0.42,0.119588929630492,0.183193141989771
0.43,0.117698651032743,0.184029908171042
0.44,0.115762556457803,0.184812110048644
0.45,0.113783141833903,0.185539979161482
0.46,0.111762903089276,0.186213747048462
0.47,0.109704336152154,0.18683364524849
0.48,0.107609936950767,0.187399905300472
0.49,0.105482201413349,0.187912758743314
0.5,0.103323625468132,0.188372437115923
0.51,0.101136862213399,0.18877925958037
0.52,0.0989251934276514,0.189133895791395
0.53,0.0966920580594413,0.189437103026902
0.54,0.0944408950573214,0.189689638564797
0.55,0.0921751433698446,0.189892259682986
0.56,0.0898982419455637,0.190045723659373
0.57,0.0876136297330314,0.190150787771864
0.58,0.0853247456808004,0.190208209298364
0.59,0.0830350287374236,0.190218745516779
0.6,0.0807479178514538,0.190183153705013
0.61,0.078466800993041,0.190101890172658
0.62,0.0761948622187254,0.189974207356043
0.63,0.0739352346066444,0.189799056723186
0.64,0.0716910512349354,0.189575389742101
0.65,0.0694654451817359,0.189302157880807
0.66,0.0672615495251834,0.188978312607318
0.67,0.0650824973434152,0.18860280538965
0.68,0.0629314217145688,0.18817458769582
0.69,0.0608114557167817,0.187692610993844
0.7,0.0587257324281913,0.187155826751738
0.71,0.0566772083008527,0.18656334390005
0.72,0.0546681332824909,0.185914901219459
0.73,0.0527005806947487,0.185210394953173
0.74,0.0507766238592688,0.184449721344403
0.75,0.048898336097694,0.183632776636358
0.76,0.0470677907316669,0.182759457072249
0.77,0.0452870610828303,0.181829658895286
0.78,0.0435582204728268,0.180843278348678
0.79,0.0418833422232993,0.179800211675635
0.8,0.0402644996558904,0.178700355119367
0.81,0.038703457206211,0.177543989911539
0.82,0.0372007437657453,0.176332937237635
0.83,0.0357565793399455,0.175069403271593
0.84,0.0343711839342639,0.173755594187352
0.85,0.0330447775541527,0.172393716158849
0.86,0.0317775802050642,0.170985975360025
